                                                                                                                                                                                                                                                                                                                                                       2 Mar 2020 12:02:49
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SunSat2


Entrance Pass Number      Entrance Time (UTCG)      Entrance Altitude (km)    Entrance Latitude (deg)    Entrance Longitude (deg)    Entrance Flux intensity (m^-2*sec^-1*Sterad^-1)    Exit Pass Number        Exit Time (UTCG)        Exit Altitude (km)    Exit Latitude (deg)    Exit Longitude (deg)    Exit Flux intensity (m^-2*sec^-1*Sterad^-1)    Duration (sec)
                 761    22 Apr 2020 12:10:51.020               1689.095015                     13.123                     -85.892                                        7892231.445                 761    22 Apr 2020 12:27:47.285           1695.472331                -36.332                -102.927                                    7891821.289          1016.265
                 762    22 Apr 2020 14:10:07.435               1689.614043                     15.999                    -115.004                                        7891820.068                 762    22 Apr 2020 14:25:13.168           1692.737187                -28.160                -129.621                                    7891874.390           905.733
                 762    22 Apr 2020 15:09:23.988               1690.137347                    -18.490                      50.807                                        7891821.899                 763    22 Apr 2020 15:23:12.699           1690.968703                 21.945                  37.635                                    7891820.068           828.711
                 763    22 Apr 2020 16:08:29.424               1690.859888                     21.519                    -143.175                                        7891828.613                 763    22 Apr 2020 16:22:17.313           1690.224445                -18.877                -156.329                                    7891842.651           827.889
                 763    22 Apr 2020 17:08:42.191               1690.797830                    -21.273                      21.707                                        7891821.289                 764    22 Apr 2020 17:25:23.066           1692.540763                 27.521                   5.527                                    7891897.583          1000.874
                 764    22 Apr 2020 18:07:06.969               1692.165227                     26.268                    -171.517                                        7892069.092                 764    22 Apr 2020 18:18:53.142           1688.428852                 -8.169                 177.138                                    7891953.735           706.173
                 764    22 Apr 2020 19:07:37.671               1691.841393                    -25.154                      -6.963                                        7891821.289                 765    22 Apr 2020 19:25:17.895           1692.240883                 26.524                 -24.160                                    7892133.789          1060.224
                 765    22 Apr 2020 20:09:28.674               1690.518828                     20.137                     156.213                                        7891823.730                 765    22 Apr 2020 20:10:50.722           1689.642360                 16.142                 154.852                                    7891833.496            82.048
                 765    22 Apr 2020 21:04:50.168               1694.652240                    -33.992                     -33.546                                        7891826.782                 766    22 Apr 2020 21:22:51.400           1690.175582                 18.661                 -51.415                                    7892264.404          1081.233
                 766    22 Apr 2020 23:02:46.002               1697.049985                    -40.681                     -60.550                                        7891987.915                 767    22 Apr 2020 23:21:13.128           1689.094772                 13.121                 -79.625                                    7892283.936          1107.126
                 767    23 Apr 2020 01:03:36.233               1696.440192                    -39.018                     -91.420                                        7892087.402                 768    23 Apr 2020 01:22:15.486           1689.500237                 15.410                -110.446                                    7891822.510          1119.253
                 768    23 Apr 2020 02:15:33.880               1688.135358                      4.579                      60.913                                        7891923.828                 768    23 Apr 2020 02:23:13.637           1690.000415                -17.868                  53.695                                    7892100.220           459.758
                 768    23 Apr 2020 03:07:14.248               1693.085649                    -29.272                    -125.659                                        7892075.195                 769    23 Apr 2020 03:24:34.348           1690.834711                 21.419                -142.565                                    7892094.727          1040.100
                 769    23 Apr 2020 04:09:47.695               1691.036910                     22.208                      36.684                                        7892078.857                 769    23 Apr 2020 04:24:37.580           1690.780034                -21.202                  22.479                                    7891835.938           889.885
                 769    23 Apr 2020 05:11:31.994               1689.923547                    -17.510                    -159.976                                        7891821.899                 770    23 Apr 2020 05:26:35.270           1692.245515                 26.540                -174.487                                    7891995.850           903.276
                 770    23 Apr 2020 06:08:19.998               1692.446397                     27.210                       8.451                                        7892137.451                 770    23 Apr 2020 06:26:25.650           1691.998840                -25.700                  -9.206                                    7891943.359          1085.652
                 771    23 Apr 2020 07:18:09.201               1688.008237                      1.128                     163.952                                        7891821.289                 771    23 Apr 2020 07:25:05.624           1690.840290                 21.441                 157.299                                    7891922.607           416.423
                 771    23 Apr 2020 08:08:44.219               1692.318106                     26.783                     -21.774                                        7891959.229                 771    23 Apr 2020 08:30:43.234           1695.846857                -37.380                 -44.041                                    7891826.782          1319.015
                 772    23 Apr 2020 10:12:12.125               1689.906933                     17.432                     -55.163                                        7891820.068                 772    23 Apr 2020 10:32:16.615           1697.206965                -41.106                 -75.886                                    7892050.781          1204.490
                 773    23 Apr 2020 12:13:56.411               1689.091303                     13.100                     -86.670                                        7892236.938                 773    23 Apr 2020 12:30:48.300           1695.405651                -36.144                -103.613                                    7892229.004          1011.889
                 774    23 Apr 2020 14:13:11.019               1689.626931                     16.064                    -115.752                                        7891826.782                 774    23 Apr 2020 14:28:14.538           1692.684042                -27.988                -130.325                                    7892080.078           903.519
                 774    23 Apr 2020 15:12:26.316               1690.165667                    -18.617                      50.079                                        7891820.068                 775    23 Apr 2020 15:26:22.537           1691.030401                 22.183                  36.780                                    7891820.679           836.220
                 775    23 Apr 2020 16:11:31.798               1690.891410                     21.643                    -143.901                                        7891828.003                 775    23 Apr 2020 16:25:18.306           1690.181123                -18.685                -157.034                                    7891873.169           826.508
                 775    23 Apr 2020 17:11:45.691               1690.815272                    -21.342                      20.961                                        7891820.068                 776    23 Apr 2020 17:28:30.433           1692.576812                 27.639                   4.712                                    7891949.463          1004.742
                 776    23 Apr 2020 18:10:09.739               1692.196089                     26.373                    -172.249                                        7892063.599                 776    23 Apr 2020 18:21:51.156           1688.394354                 -7.832                 176.475                                    7891971.436           701.417
                 776    23 Apr 2020 19:10:38.235               1691.902068                    -25.365                      -7.655                                        7892240.601                 777    23 Apr 2020 19:28:20.408           1692.206198                 26.407                 -24.887                                    7892169.189          1062.173
                 777    23 Apr 2020 21:07:50.819               1694.723339                    -34.198                     -34.228                                        7892279.663                 778    23 Apr 2020 21:25:51.258           1690.120381                 18.414                 -52.101                                    7892233.887          1080.439
                 778    23 Apr 2020 23:05:48.347               1697.095386                    -40.804                     -61.260                                        7892177.734                 779    23 Apr 2020 23:24:18.908           1689.101606                 13.163                 -80.410                                    7892265.015          1110.561
                 779    24 Apr 2020 01:06:43.560               1696.398375                    -38.903                     -92.245                                        7891834.717                 780    24 Apr 2020 01:25:23.118           1689.525391                 15.542                -111.261                                    7891823.730          1119.558
                 780    24 Apr 2020 02:18:22.908               1688.185035                      5.356                      60.389                                        7891868.896                 780    24 Apr 2020 02:26:23.477           1690.052554                -18.107                  52.843                                    7892116.699           480.569
                 780    24 Apr 2020 03:10:25.192               1692.993658                    -28.982                    -126.543                                        7891972.046                 781    24 Apr 2020 03:27:42.039           1690.868708                 21.554                -143.383                                    7892008.667          1036.846
                 781    24 Apr 2020 04:12:48.928               1691.083702                     22.388                      35.977                                        7891928.711                 781    24 Apr 2020 04:27:44.008           1690.798331                -21.275                  21.683                                    7892130.127           895.080
                 781    24 Apr 2020 05:14:45.156               1689.838993                    -17.109                    -160.883                                        7892044.678                 782    24 Apr 2020 05:29:41.138           1692.259075                 26.585                -175.275                                    7891867.676           895.982
                 782    24 Apr 2020 06:11:25.454               1692.438650                     27.184                       7.671                                        7892158.813                 782    24 Apr 2020 06:29:35.016           1692.061517                -25.915                 -10.057                                    7891922.607          1089.561
                 783    24 Apr 2020 07:21:28.582               1688.021771                      1.835                     162.959                                        7891820.679                 783    24 Apr 2020 07:27:57.684           1690.684118                 20.816                 156.748                                    7891928.101           389.102
                 783    24 Apr 2020 08:11:49.652               1692.310775                     26.759                     -22.554                                        7891820.068                 783    24 Apr 2020 08:33:52.391           1695.919795                -37.582                 -44.905                                    7892098.999          1322.739
                 784    24 Apr 2020 10:15:21.999               1689.856144                     17.191                     -56.015                                        7891820.068                 784    24 Apr 2020 10:35:21.268           1697.202135                -41.093                 -76.650                                    7892141.113          1199.269
                 785    24 Apr 2020 12:17:01.794               1689.087666                     13.078                     -87.448                                        7892239.990                 785    24 Apr 2020 12:33:49.233           1695.337698                -35.953                -104.299                                    7891828.613          1007.439
                 786    24 Apr 2020 14:16:14.318               1689.642617                     16.144                    -116.496                                        7891828.613                 786    24 Apr 2020 14:31:14.533           1692.610702                -27.750                -131.005                                    7892185.669           900.215
                 786    24 Apr 2020 15:15:28.428               1690.196534                    -18.754                      49.356                                        7892107.544                 787    24 Apr 2020 15:29:31.900           1691.086586                 22.399                  35.932                                    7891824.951           843.472
                 787    24 Apr 2020 16:14:34.043               1690.924667                     21.773                    -144.626                                        7891826.172                 787    24 Apr 2020 16:28:18.577           1690.130337                -18.459                -157.727                                    7892132.568           824.534
                 787    24 Apr 2020 17:14:49.174               1690.832963                    -21.412                      20.215                                        7891822.510                 788    24 Apr 2020 17:31:37.229           1692.604486                 27.729                   3.907                                    7891998.901          1008.055
                 788    24 Apr 2020 18:13:13.186               1692.217331                     26.445                    -172.993                                        7891861.572                 788    24 Apr 2020 18:24:48.251           1688.356981                 -7.449                 175.827                                    7891823.730           695.065
                 788    24 Apr 2020 19:13:40.418               1691.940417                    -25.498                      -8.377                                        7892001.343                 789    24 Apr 2020 19:31:22.553           1692.166355                 26.272                 -25.607                                    7891914.673          1062.135
                 789    24 Apr 2020 21:10:51.243               1694.798426                    -34.415                     -34.906                                        7891875.000                 790    24 Apr 2020 21:28:51.316           1690.067934                 18.177                 -52.791                                    7891940.918          1080.072
                 790    24 Apr 2020 23:08:51.559               1697.125551                    -40.886                     -61.990                                        7892062.988                 791    24 Apr 2020 23:27:24.763           1689.109064                 13.208                 -81.195                                    7892246.094          1113.204
                 791    25 Apr 2020 01:09:50.844               1696.357318                    -38.791                     -93.069                                        7892184.448                 792    25 Apr 2020 01:28:31.115           1689.554173                 15.692                -112.081                                    7891820.679          1120.271
                 792    25 Apr 2020 02:21:13.459               1688.236553                      6.058                      59.841                                        7891820.068                 792    25 Apr 2020 02:29:31.984           1690.090935                -18.281                  52.013                                    7892028.809           498.525
                 792    25 Apr 2020 03:13:36.969               1692.889625                    -28.650                    -127.442                                        7891820.068                 793    25 Apr 2020 03:30:49.902           1690.905019                 21.696                -144.204                                    7892028.809          1032.933
                 793    25 Apr 2020 04:15:50.245               1691.129713                     22.563                      35.269                                        7891923.828                 793    25 Apr 2020 04:30:50.460           1690.816971                -21.349                  20.886                                    7892124.634           900.215
                 793    25 Apr 2020 05:17:59.503               1689.744375                    -16.650                    -161.808                                        7891976.318                 794    25 Apr 2020 05:32:46.433           1692.264380                 26.603                -176.052                                    7892075.806           886.930
                 794    25 Apr 2020 06:14:28.291               1692.469263                     27.285                       6.939                                        7892205.811                 794    25 Apr 2020 06:32:45.033           1692.133845                -26.162                 -10.919                                    7892049.561          1096.742
                 795    25 Apr 2020 07:24:47.073               1688.040331                      2.498                     161.979                                        7891826.782                 795    25 Apr 2020 07:30:48.645           1690.518864                 20.137                 156.214                                    7891887.817           361.572
                 795    25 Apr 2020 08:14:56.951               1692.276488                     26.644                     -23.367                                        7891958.008                 795    25 Apr 2020 08:37:02.465           1696.008695                -37.829                 -45.789                                    7892053.833          1325.514
                 796    25 Apr 2020 10:18:31.635               1689.808363                     16.961                     -56.863                                        7891821.289                 796    25 Apr 2020 10:38:24.657           1697.175072                -41.020                 -77.384                                    7892085.571          1193.023
                 797    25 Apr 2020 12:20:07.168               1689.084102                     13.056                     -88.226                                        7892242.432                 797    25 Apr 2020 12:36:49.912           1695.265576                -35.749                -104.980                                    7892205.811          1002.744
                 798    25 Apr 2020 14:19:17.570               1689.658822                     16.225                    -117.239                                        7891964.722                 798    25 Apr 2020 14:34:14.101           1692.531479                -27.490                -131.676                                    7892186.279           896.531
                 798    25 Apr 2020 15:18:29.896               1690.234721                    -18.922                      48.643                                        7892127.075                 799    25 Apr 2020 15:32:41.195           1691.142317                 22.611                  35.086                                    7892039.185           851.299
                 799    25 Apr 2020 16:17:36.156               1690.959737                     21.910                    -145.348                                        7892113.647                 799    25 Apr 2020 16:31:17.686           1690.067609                -18.175                -158.401                                    7892125.244           821.529
                 799    25 Apr 2020 17:17:52.690               1690.850288                    -21.481                      19.468                                        7891939.697                 800    25 Apr 2020 17:34:43.984           1692.631599                 27.818                   3.103                                    7891856.689          1011.293
                 800    25 Apr 2020 18:16:17.095               1692.231952                     26.494                    -173.745                                        7891948.853                 800    25 Apr 2020 18:27:46.043           1688.324527                 -7.101                 175.168                                    7891827.393           688.948
                 800    25 Apr 2020 19:16:41.811               1691.990006                    -25.670                      -9.084                                        7892102.051                 801    25 Apr 2020 19:34:23.133           1692.104384                 26.062                 -26.299                                    7892186.890          1061.322
                 801    25 Apr 2020 21:13:50.227               1694.897847                    -34.701                     -35.554                                        7892204.590                 802    25 Apr 2020 21:31:51.870           1690.021338                 17.964                 -53.489                                    7891993.408          1081.643
                 802    25 Apr 2020 23:11:55.193               1697.148297                    -40.948                     -62.730                                        7891925.049                 803    25 Apr 2020 23:30:30.704           1689.117239                 13.258                 -81.982                                    7892229.614          1115.511
                 803    26 Apr 2020 01:12:58.213               1696.314828                    -38.674                     -93.895                                        7891822.510                 804    26 Apr 2020 01:31:38.548           1689.577856                 15.814                -112.893                                    7891827.393          1120.336
                 804    26 Apr 2020 02:24:05.403               1688.288442                      6.692                      59.272                                        7891823.730                 804    26 Apr 2020 02:32:39.823           1690.122378                -18.423                  51.194                                    7891820.068           514.421
                 804    26 Apr 2020 03:16:46.281               1692.823405                    -28.438                    -128.295                                        7891824.951                 805    26 Apr 2020 03:33:57.959           1690.943925                 21.848                -145.028                                    7892056.885          1031.677
                 805    26 Apr 2020 04:18:51.410               1691.177963                     22.746                      34.564                                        7891928.101                 805    26 Apr 2020 04:33:56.932           1690.835911                -21.424                  20.090                                    7892126.465           905.522
                 805    26 Apr 2020 05:21:13.674               1689.653734                    -16.200                    -162.730                                        7891820.068                 806    26 Apr 2020 05:35:51.523           1692.266723                 26.611                -176.826                                    7892074.585           877.848
                 806    26 Apr 2020 06:17:30.621               1692.507413                     27.411                       6.216                                        7892225.342                 806    26 Apr 2020 06:35:55.243           1692.209399                -26.418                 -11.785                                    7891820.068          1104.622
                 807    26 Apr 2020 07:28:19.642               1688.095667                      3.848                     160.782                                        7891828.003                 807    26 Apr 2020 07:33:37.009           1690.328745                 19.331                 155.722                                    7891879.883           317.367
                 807    26 Apr 2020 08:18:04.423               1692.239805                     26.520                     -24.184                                        7891990.356                 807    26 Apr 2020 08:40:13.060           1696.106794                -38.100                 -46.685                                    7891889.648          1328.637
                 808    26 Apr 2020 10:21:41.771               1689.756165                     16.708                     -57.719                                        7892032.471                 808    26 Apr 2020 10:41:28.015           1697.147450                -40.945                 -78.117                                    7892128.906          1186.244
                 809    26 Apr 2020 12:23:12.093               1689.084118                     13.056                     -88.996                                        7892233.276                 809    26 Apr 2020 12:39:50.331           1695.189210                -35.532                -105.655                                    7892193.604           998.238
                 810    26 Apr 2020 14:22:20.774               1689.675577                     16.309                    -117.982                                        7892188.721                 810    26 Apr 2020 14:37:13.613           1692.451919                -27.228                -132.347                                    7892184.448           892.839
                 810    26 Apr 2020 15:21:31.660               1690.269896                    -19.076                      47.925                                        7892139.893                 811    26 Apr 2020 15:35:52.549           1691.225057                 22.923                  34.204                                    7891878.662           860.889
                 811    26 Apr 2020 16:20:38.949               1690.986448                     22.014                    -146.082                                        7892053.223                 811    26 Apr 2020 16:34:16.777           1690.005538                -17.891                -159.074                                    7892122.803           817.828
                 811    26 Apr 2020 17:20:57.328               1690.853846                    -21.495                      18.703                                        7891820.679                 812    26 Apr 2020 17:37:50.868           1692.660701                 27.912                   2.296                                    7891866.455          1013.540
                 812    26 Apr 2020 18:19:21.067               1692.245690                     26.540                    -174.498                                        7892041.626                 812    26 Apr 2020 18:30:44.597           1688.296822                 -6.789                 174.496                                    7892006.226           683.529
                 812    26 Apr 2020 19:19:43.090               1692.041439                    -25.846                      -9.789                                        7892105.713                 813    26 Apr 2020 19:37:23.188           1692.035347                 25.825                 -26.982                                    7892149.048          1060.098
                 813    26 Apr 2020 21:16:48.668               1695.006742                    -35.012                     -36.190                                        7892219.238                 814    26 Apr 2020 21:34:52.327           1689.974200                 17.746                 -54.186                                    7891932.373          1083.660
                 814    26 Apr 2020 23:14:58.830               1697.171010                    -41.009                     -63.469                                        7891820.068                 815    26 Apr 2020 23:33:36.065           1689.120751                 13.279                 -82.759                                    7892236.328          1117.236
                 815    27 Apr 2020 01:16:06.232               1696.261065                    -38.526                     -94.735                                        7892143.555                 816    27 Apr 2020 01:34:44.984           1689.592192                 15.887                -113.688                                    7891837.769          1118.752
                 816    27 Apr 2020 02:26:58.608               1688.339633                      7.265                      58.684                                        7891931.152                 816    27 Apr 2020 02:35:47.669           1690.154108                -18.565                  50.375                                    7891976.318           529.061
                 816    27 Apr 2020 03:19:54.693               1692.771007                    -28.270                    -129.130                                        7891820.679                 817    27 Apr 2020 03:37:05.689           1690.978964                 21.985                -145.847                                    7891874.390          1030.996
                 817    27 Apr 2020 04:21:49.574               1691.265442                     23.074                      33.911                                        7892129.517                 817    27 Apr 2020 04:37:03.090           1690.851041                -21.484                  19.298                                    7892143.555           913.517
                 817    27 Apr 2020 05:24:26.859               1689.574636                    -15.797                    -163.635                                        7892008.667                 818    27 Apr 2020 05:38:56.615           1692.269104                 26.619                -177.599                                    7892070.313           869.756
                 818    27 Apr 2020 06:20:33.168               1692.542467                     27.526                       5.489                                        7892241.821                 818    27 Apr 2020 06:39:05.010           1692.279065                -26.652                 -12.644                                    7891820.679          1111.842
                 819    27 Apr 2020 07:32:13.431               1688.250564                      6.236                     159.255                                        7891820.679                 819    27 Apr 2020 07:36:17.469           1690.059868                 18.140                 155.359                                    7891822.510           244.038
                 819    27 Apr 2020 08:21:12.092               1692.200422                     26.387                     -25.005                                        7892030.640                 819    27 Apr 2020 08:43:26.813           1696.259936                -38.523                 -47.652                                    7892130.737          1334.721
                 820    27 Apr 2020 10:24:51.899               1689.704732                     16.454                     -58.575                                        7891821.289                 820    27 Apr 2020 10:44:31.345           1697.119350                -40.869                 -78.849                                    7891820.068          1179.445
                 821    27 Apr 2020 12:26:16.789               1689.085963                     13.067                     -89.763                                        7892230.835                 821    27 Apr 2020 12:42:50.463           1695.108181                -35.302                -106.325                                    7892185.669           993.674
                 822    27 Apr 2020 14:25:24.033               1689.691864                     16.390                    -118.725                                        7892130.127                 822    27 Apr 2020 14:40:13.067           1692.372034                -26.963                -133.018                                    7892177.124           889.034
                 822    27 Apr 2020 15:24:33.686               1690.302372                    -19.217                      47.203                                        7892155.151                 823    27 Apr 2020 15:39:06.873           1691.347578                 23.379                  33.270                                    7891870.117           873.187
                 823    27 Apr 2020 16:23:42.101               1691.008747                     22.100                    -146.822                                        7891892.090                 823    27 Apr 2020 16:37:15.853           1689.944136                -17.606                -159.748                                    7892124.634           813.752
                 823    27 Apr 2020 17:24:01.964               1690.857426                    -21.509                      17.937                                        7891821.289                 824    27 Apr 2020 17:40:57.888           1692.691903                 28.014                   1.486                                    7891972.046          1015.924
                 824    27 Apr 2020 18:22:25.091               1692.258704                     26.584                    -175.252                                        7891822.510                 824    27 Apr 2020 18:33:42.593           1688.268080                 -6.451                 173.833                                    7891899.414           677.503
                 824    27 Apr 2020 19:22:44.262               1692.094643                    -26.028                     -10.492                                        7891949.463                 825    27 Apr 2020 19:40:22.630           1691.958139                 25.560                 -27.654                                    7891919.556          1058.367
                 825    27 Apr 2020 21:19:47.268               1695.113353                    -35.316                     -36.828                                        7892015.381                 826    27 Apr 2020 21:37:52.682           1689.926491                 17.524                 -54.881                                    7892041.626          1085.415
                 826    27 Apr 2020 23:18:02.469               1697.193676                    -41.070                     -64.209                                        7891820.679                 827    27 Apr 2020 23:36:40.169           1689.114104                 13.239                 -83.517                                    7891820.068          1117.700
                 827    28 Apr 2020 01:19:15.995               1696.177091                    -38.294                     -95.613                                        7892115.479                 828    28 Apr 2020 01:37:51.320           1689.605629                 15.956                -114.481                                    7891850.586          1115.325
                 828    28 Apr 2020 02:29:44.008               1688.434018                      8.219                      58.218                                        7891837.769                 828    28 Apr 2020 02:38:55.532           1690.186226                -18.708                  49.555                                    7891909.790           551.524
                 828    28 Apr 2020 03:23:03.616               1692.711170                    -28.076                    -129.975                                        7892061.768                 829    28 Apr 2020 03:40:12.595           1691.003788                 22.081                -146.651                                    7891934.814          1028.978
                 829    28 Apr 2020 04:24:48.061               1691.349634                     23.387                      33.253                                        7892091.675                 829    28 Apr 2020 04:40:08.309           1690.854635                -21.498                  18.522                                    7892144.775           920.249
                 829    28 Apr 2020 05:27:37.460               1689.521309                    -15.521                    -164.498                                        7891994.629                 830    28 Apr 2020 05:42:01.714           1692.271590                 26.627                -178.373                                    7891820.068           864.254
                 830    28 Apr 2020 06:23:35.908               1692.574767                     27.632                       4.759                                        7892260.132                 830    28 Apr 2020 06:42:14.393           1692.343568                -26.868                 -13.496                                    7892003.174          1118.485
                 831    28 Apr 2020 07:36:17.825               1688.535926                      9.140                     157.557                                        7891821.899                 831    28 Apr 2020 07:39:01.439           1689.841263                 17.120                 154.935                                    7891876.831           163.615
                 831    28 Apr 2020 08:24:20.827               1692.145951                     26.203                     -25.844                                        7892125.854                 831    28 Apr 2020 08:46:39.240           1696.390421                -38.882                 -48.592                                    7891821.899          1338.413
                 832    28 Apr 2020 10:28:00.426               1689.669546                     16.279                     -59.405                                        7891825.562                 832    28 Apr 2020 10:47:34.607           1697.090075                -40.790                 -79.581                                    7891820.068          1174.182
                 833    28 Apr 2020 12:29:21.498               1689.087701                     13.078                     -90.530                                        7892229.004                 833    28 Apr 2020 12:45:50.775           1695.030403                -35.080                -106.999                                    7892166.748           989.278
                 834    28 Apr 2020 14:28:27.682               1689.704392                     16.453                    -119.475                                        7892221.680                 834    28 Apr 2020 14:43:12.628           1692.294212                -26.703                -133.690                                    7892030.029           884.946
                 834    28 Apr 2020 15:27:35.937               1690.332503                    -19.347                      46.478                                        7892136.230                 835    28 Apr 2020 15:42:19.624           1691.450996                 23.759                  32.362                                    7891820.679           883.687
                 835    28 Apr 2020 16:26:45.411               1691.029118                     22.178                    -147.565                                        7892147.827                 835    28 Apr 2020 16:40:14.913           1689.883434                -17.321                -160.422                                    7892013.550           809.502
                 835    28 Apr 2020 17:27:06.597               1690.861048                    -21.523                      17.172                                        7891820.679                 836    28 Apr 2020 17:44:04.516           1692.717299                 28.096                   0.684                                    7892041.016          1017.919
                 836    28 Apr 2020 18:25:29.631               1692.264271                     26.603                    -176.016                                        7892071.533                 836    28 Apr 2020 18:36:39.961           1688.238377                 -6.082                 173.180                                    7891822.510           670.330
                 836    28 Apr 2020 19:25:44.785               1692.157382                    -26.242                     -11.183                                        7892130.737                 837    28 Apr 2020 19:43:23.235           1691.897710                 25.350                 -28.347                                    7891923.218          1058.450
                 837    28 Apr 2020 21:22:46.026               1695.217640                    -35.613                     -37.469                                        7892033.691                 838    28 Apr 2020 21:40:53.057           1689.879507                 17.302                 -55.576                                    7891820.068          1087.030
                 838    28 Apr 2020 23:21:06.276               1697.213387                    -41.124                     -64.953                                        7892061.768                 839    28 Apr 2020 23:39:44.274           1689.107486                 13.199                 -84.274                                    7891907.959          1117.998
                 839    29 Apr 2020 01:22:26.165               1696.086212                    -38.043                     -96.501                                        7891914.063                 840    29 Apr 2020 01:40:57.565           1689.618250                 16.020                -115.273                                    7891862.183          1111.400
                 840    29 Apr 2020 02:32:28.099               1688.547155                      9.236                      57.774                                        7891875.000                 840    29 Apr 2020 02:42:04.515           1690.230948                -18.905                  48.717                                    7891862.183           576.416
                 840    29 Apr 2020 03:26:14.042               1692.629268                    -27.810                    -130.847                                        7891825.562                 841    29 Apr 2020 03:43:19.300           1691.026184                 22.167                -147.453                                    7891979.370          1025.259
                 841    29 Apr 2020 04:27:47.136               1691.426873                     23.671                      32.584                                        7892157.593                 841    29 Apr 2020 04:43:13.532           1690.858271                -21.512                  17.747                                    7892150.269           926.395
                 841    29 Apr 2020 05:30:48.142               1689.468086                    -15.240                    -165.362                                        7891873.779                 842    29 Apr 2020 05:45:08.458           1692.297839                 26.715                -179.176                                    7891820.679           860.316
                 842    29 Apr 2020 06:26:39.075               1692.600818                     27.717                       4.021                                        7891820.068                 842    29 Apr 2020 06:45:25.379           1692.431840                -27.162                 -14.377                                    7891828.613          1126.303
