                                                                                                                                                                                                                                                                                                                                                       2 Mar 2020 12:01:32
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SunSat1


Entrance Pass Number      Entrance Time (UTCG)      Entrance Altitude (km)    Entrance Latitude (deg)    Entrance Longitude (deg)    Entrance Flux intensity (m^-2*sec^-1*Sterad^-1)    Exit Pass Number        Exit Time (UTCG)        Exit Altitude (km)    Exit Latitude (deg)    Exit Longitude (deg)    Exit Flux intensity (m^-2*sec^-1*Sterad^-1)    Duration (sec)
--------------------    ------------------------    ----------------------    -----------------------    ------------------------    -----------------------------------------------    ----------------    ------------------------    ------------------    -------------------    --------------------    -------------------------------------------    --------------
                   1    19 Feb 2020 01:31:20.924                910.039386                    -40.660                     -75.027                                        2514156.799                   1    19 Feb 2020 01:39:14.101            902.154872                -13.487                 -82.634                                    2480257.721           473.177
                   5    19 Feb 2020 07:47:42.523                902.014378                    -12.626                       1.042                                        2479677.124                   5    19 Feb 2020 07:51:38.901            905.156938                -26.247                  -2.386                                    2493206.482           236.378
                   6    19 Feb 2020 09:27:48.884                901.030101                     -2.158                     -22.295                                        2475523.682                   6    19 Feb 2020 09:38:05.912            908.951846                -37.679                 -31.543                                    2509434.509           617.028
                   7    19 Feb 2020 11:10:06.385                901.003489                      0.735                     -47.410                                        2475337.219                   7    19 Feb 2020 11:23:00.667            911.199205                -43.786                 -59.475                                    2519073.792           774.283
                   8    19 Feb 2020 12:55:27.242                901.312497                     -6.969                     -74.972                                        2476580.963                   8    19 Feb 2020 13:03:32.214            907.960966                -34.889                 -82.218                                    2505213.013           484.972
                  12    19 Feb 2020 20:29:54.734                905.173725                    -26.304                      -2.993                                        2493175.812                  12    19 Feb 2020 20:35:09.074            901.429784                 -8.181                  -7.485                                    2477167.206           314.340
                  13    19 Feb 2020 22:10:15.017                908.315016                    -35.896                     -25.987                                        2506676.941                  13    19 Feb 2020 22:20:37.472            901.000011                 -0.041                 -35.150                                    2475281.219           622.455
                  14    19 Feb 2020 23:51:10.575                911.063567                    -43.422                     -49.183                                        2518771.973                  14    20 Feb 2020 00:03:31.438            901.004418                 -0.827                 -60.750                                    2475369.720           740.863
                  15    20 Feb 2020 01:35:16.944                909.823894                    -40.075                     -76.171                                        2513161.163                  15    20 Feb 2020 01:42:43.924            902.314214                -14.406                 -83.354                                    2480886.536           446.980
