                                                                                                                                                                                                                                                                                                                                                       2 Mar 2020 12:01:32
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SunSat1


Entrance Pass Number      Entrance Time (UTCG)      Entrance Altitude (km)    Entrance Latitude (deg)    Entrance Longitude (deg)    Entrance Flux intensity (m^-2*sec^-1*Sterad^-1)    Exit Pass Number        Exit Time (UTCG)        Exit Altitude (km)    Exit Latitude (deg)    Exit Longitude (deg)    Exit Flux intensity (m^-2*sec^-1*Sterad^-1)    Duration (sec)
                  19    20 Feb 2020 07:51:19.745                901.938020                    -12.134                       0.218                                        2479330.750                  19    20 Feb 2020 07:55:26.196            905.183279                -26.336                  -3.351                                    2493322.754           246.451
                  20    20 Feb 2020 09:31:32.813                901.027250                     -2.053                     -23.212                                        2475505.371                  20    20 Feb 2020 09:42:09.154            909.313552                -38.678                 -32.815                                    2511076.965           636.341
                  21    20 Feb 2020 11:13:49.652                901.004979                      0.878                     -48.318                                        2475321.045                  21    20 Feb 2020 11:26:48.317            911.239609                -43.895                 -60.457                                    2519246.521           778.666
                  22    20 Feb 2020 12:59:26.833                901.387914                     -7.769                     -76.099                                        2476984.253                  22    20 Feb 2020 13:07:04.017            907.683741                -34.091                 -82.914                                    2504022.217           457.183
                  26    20 Feb 2020 20:33:39.048                905.197983                    -26.386                      -3.911                                        2493348.541                  26    20 Feb 2020 20:39:04.999            901.370538                 -7.592                  -8.562                                    2476831.360           325.951
                  27    20 Feb 2020 22:13:54.457                908.442738                    -36.257                     -26.813                                        2507402.802                  28    20 Feb 2020 22:24:24.498            901.000007                  0.033                 -36.107                                    2475239.258           630.041
                  28    20 Feb 2020 23:54:55.546                911.079899                    -43.466                     -50.107                                        2518560.333                  28    21 Feb 2020 00:07:13.509            901.006977                 -1.039                 -61.642                                    2475329.742           737.963
                  29    21 Feb 2020 01:39:13.434                909.599283                    -39.462                     -77.322                                        2512215.881                  29    21 Feb 2020 01:46:12.103            902.501087                -15.419                 -84.049                                    2481689.758           418.669
                  33    21 Feb 2020 07:54:58.148                901.874531                    -11.710                      -0.622                                        2479092.407                  33    21 Feb 2020 07:59:13.411            905.208327                -26.421                  -4.315                                    2493353.577           255.263
                  34    21 Feb 2020 09:35:17.483                901.025632                     -1.992                     -24.138                                        2475505.829                  34    21 Feb 2020 09:46:08.333            909.593115                -39.445                 -34.014                                    2512183.075           650.850
                  35    21 Feb 2020 11:17:32.725                901.006883                      1.032                     -49.223                                        2475271.301                  35    21 Feb 2020 11:30:35.835            911.277213                -43.996                 -61.436                                    2519572.754           783.110
                  36    21 Feb 2020 13:03:21.959                901.443548                     -8.311                     -77.166                                        2477226.868                  36    21 Feb 2020 13:10:37.406            907.440585                -33.384                 -83.640                                    2503032.684           435.448
                  40    21 Feb 2020 20:37:20.492                905.271297                    -26.633                      -4.785                                        2493595.123                  40    21 Feb 2020 20:43:00.905            901.315706                 -7.005                  -9.640                                    2476617.279           340.412
                  41    21 Feb 2020 22:17:34.473                908.559200                    -36.584                     -27.650                                        2507911.072                  42    21 Feb 2020 22:28:11.427            901.000066                  0.101                 -37.064                                    2475281.067           636.954
                  42    21 Feb 2020 23:58:41.815                911.068738                    -43.436                     -51.059                                        2518548.584                  42    22 Feb 2020 00:10:54.082            901.011566                 -1.338                 -62.514                                    2475426.025           732.267
                  43    22 Feb 2020 01:43:14.496                909.280639                    -38.588                     -78.558                                        2510901.794                  43    22 Feb 2020 01:49:38.548            902.719531                -16.532                 -84.719                                    2482628.174           384.052
                  47    22 Feb 2020 07:58:37.516                901.821121                    -11.342                      -1.475                                        2478806.152                  47    22 Feb 2020 08:03:09.712            905.389463                -27.028                  -5.420                                    2494108.887           272.195
                  48    22 Feb 2020 09:39:02.210                901.024145                     -1.933                     -25.065                                        2475504.913                  48    22 Feb 2020 09:50:02.004            909.758714                -39.897                 -35.109                                    2513046.112           659.794
                  49    22 Feb 2020 11:21:18.843                901.006596                      1.010                     -50.169                                        2475268.555                  49    22 Feb 2020 11:34:20.621            911.256982                -43.941                 -62.356                                    2519347.839           781.779
                  50    22 Feb 2020 13:07:15.744                901.494136                     -8.776                     -78.215                                        2477361.908                  50    22 Feb 2020 13:14:08.764            907.160588                -32.560                 -84.335                                    2501755.981           413.020
                  54    22 Feb 2020 20:40:57.672                905.418766                    -27.125                      -5.591                                        2494375.305                  54    22 Feb 2020 20:46:56.402            901.267148                 -6.441                 -10.712                                    2476473.389           358.729
                  55    22 Feb 2020 22:21:15.003                908.665550                    -36.882                     -28.495                                        2508211.517                  56    22 Feb 2020 22:31:58.876            901.000259                  0.200                 -38.027                                    2475292.664           643.873
                  56    23 Feb 2020 00:02:28.157                911.056041                    -43.402                     -52.012                                        2518457.947                  56    23 Feb 2020 00:14:34.744            901.017199                 -1.631                 -63.387                                    2475469.055           726.587
                  57    23 Feb 2020 01:47:23.073                908.809607                    -37.284                     -79.928                                        2508806.763                  57    23 Feb 2020 01:53:07.654            902.918638                -17.492                 -85.424                                    2483485.565           344.581
                  61    23 Feb 2020 08:02:14.544                901.750708                    -10.839                      -2.296                                        2478574.829                  61    23 Feb 2020 08:07:05.343            905.561644                -27.596                  -6.516                                    2494918.060           290.800
                  62    23 Feb 2020 09:42:46.125                901.021579                     -1.827                     -25.981                                        2475485.840                  62    23 Feb 2020 09:53:51.960            909.846910                -40.137                 -36.133                                    2513322.601           665.835
                  63    23 Feb 2020 11:25:06.371                901.005317                      0.907                     -51.133                                        2475262.451                  63    23 Feb 2020 11:38:05.099            911.230209                -43.870                 -63.269                                    2519356.842           778.728
                  64    23 Feb 2020 13:11:10.042                901.550865                     -9.270                     -79.272                                        2477606.964                  64    23 Feb 2020 13:17:37.664            906.837394                -31.594                 -84.991                                    2500417.938           387.622
                  68    23 Feb 2020 20:44:36.036                905.547307                    -27.549                      -6.416                                        2494937.286                  68    23 Feb 2020 20:50:52.371            901.220538                 -5.850                 -11.789                                    2476188.049           376.335
                  69    23 Feb 2020 22:24:56.465                908.753104                    -37.126                     -29.356                                        2508727.264                  70    23 Feb 2020 22:35:46.933            901.000721                  0.334                 -38.998                                    2475336.914           650.468
                  70    24 Feb 2020 00:06:13.665                911.060996                    -43.415                     -52.948                                        2518708.191                  70    24 Feb 2020 00:18:15.636            901.023616                 -1.912                 -64.263                                    2475339.508           721.971
                  71    24 Feb 2020 01:51:28.526                908.407479                    -36.157                     -81.230                                        2507081.451                  71    24 Feb 2020 01:56:37.508            903.117873                -18.408                 -86.138                                    2484422.302           308.982
                  75    24 Feb 2020 08:05:51.418                901.682185                    -10.327                      -3.116                                        2478188.629                  75    24 Feb 2020 08:10:59.059            905.702201                -28.054                  -7.583                                    2495577.393           307.641
                  76    24 Feb 2020 09:46:29.341                901.018270                     -1.681                     -26.888                                        2475487.061                  76    24 Feb 2020 09:57:40.904            909.913994                -40.320                 -37.137                                    2513667.297           671.562
                  77    24 Feb 2020 11:28:53.908                901.004171                      0.803                     -52.098                                        2475350.494                  77    24 Feb 2020 11:41:49.444            911.200628                -43.790                 -64.180                                    2519187.622           775.537
                  78    24 Feb 2020 13:15:10.188                901.653130                    -10.102                     -80.408                                        2478046.417                  78    24 Feb 2020 13:21:07.350            906.534265                -30.674                 -85.665                                    2499136.047           357.162
                  82    24 Feb 2020 20:48:15.380                905.659824                    -27.916                      -7.255                                        2495391.846                  82    24 Feb 2020 20:54:46.969            901.183751                 -5.339                 -12.849                                    2476053.467           391.588
                  83    24 Feb 2020 22:28:38.583                908.827411                    -37.333                     -30.230                                        2509085.846                  84    24 Feb 2020 22:39:35.163            901.001475                  0.478                 -39.972                                    2475344.543           656.580
                  84    25 Feb 2020 00:09:58.318                911.084053                    -43.477                     -53.865                                        2518577.118                  84    25 Feb 2020 00:21:56.192            901.031598                 -2.211                 -65.134                                    2475473.785           717.874
                  85    25 Feb 2020 01:55:48.277                907.725350                    -34.212                     -82.776                                        2504142.456                  85    25 Feb 2020 02:00:04.002            903.370857                -19.517                 -86.802                                    2485438.538           255.725
                  89    25 Feb 2020 08:09:28.241                901.616460                     -9.812                      -3.936                                        2477919.159                  89    25 Feb 2020 08:14:56.303            905.907568                -28.715                  -8.707                                    2496423.035           328.062
                  90    25 Feb 2020 09:50:12.624                901.015313                     -1.539                     -27.796                                        2475479.126                  90    25 Feb 2020 10:01:28.575            909.954441                -40.430                 -38.116                                    2513766.937           675.950
                  91    25 Feb 2020 11:32:42.065                901.002847                      0.664                     -53.070                                        2475268.250                  91    25 Feb 2020 11:45:33.033            911.155025                -43.668                 -65.074                                    2519028.931           770.968
                  92    25 Feb 2020 13:19:25.624                901.890325                    -11.817                     -81.754                                        2479094.849                  92    25 Feb 2020 13:24:36.923            906.234258                -29.746                 -86.341                                    2497840.881           311.299
                  96    25 Feb 2020 20:51:54.143                905.783692                    -28.317                      -8.085                                        2495798.035                  96    25 Feb 2020 20:58:40.065            901.155730                 -4.914                 -13.888                                    2475943.604           405.922
                  97    25 Feb 2020 22:32:21.092                908.893821                    -37.518                     -31.110                                        2509164.276                  98    25 Feb 2020 22:43:22.541            901.002116                  0.572                 -40.934                                    2475277.100           661.449
                  98    26 Feb 2020 00:13:42.791                911.110912                    -43.549                     -54.778                                        2518847.198                  98    26 Feb 2020 00:25:36.683            901.040860                 -2.515                 -66.005                                    2475493.164           713.892
                  99    26 Feb 2020 01:59:58.508                907.244881                    -32.809                     -84.140                                        2502127.991                  99    26 Feb 2020 02:03:17.536            903.821566                -21.373                 -87.273                                    2487364.349           199.028
                 103    26 Feb 2020 08:13:06.008                901.560430                     -9.351                      -4.768                                        2477668.457                 103    26 Feb 2020 08:18:53.791            906.120409                -29.389                  -9.836                                    2497245.026           347.783
                 104    26 Feb 2020 09:53:54.710                901.011397                     -1.328                     -28.688                                        2475380.096                 104    26 Feb 2020 10:05:15.732            909.984130                -40.510                 -39.084                                    2513984.833           681.022
                 105    26 Feb 2020 11:36:30.495                901.001670                      0.508                     -54.047                                        2475366.364                 105    26 Feb 2020 11:49:16.351            911.103709                -43.530                 -65.962                                    2518783.264           765.856
                 106    26 Feb 2020 13:23:54.802                902.299703                    -14.324                     -83.294                                        2480833.740                 106    26 Feb 2020 13:28:03.795            905.891228                -28.662                 -86.977                                    2496354.980           248.993
                 110    26 Feb 2020 20:55:30.927                905.944324                    -28.832                      -8.882                                        2496564.331                 110    26 Feb 2020 21:02:30.926            901.137583                 -4.618                 -14.897                                    2475865.784           419.998
                 111    26 Feb 2020 22:35:58.713                909.061098                    -37.982                     -31.899                                        2509925.995                 112    26 Feb 2020 22:47:08.725            901.002310                  0.598                 -41.881                                    2475307.007           670.013
                 112    27 Feb 2020 00:17:27.410                911.134710                    -43.613                     -55.695                                        2518794.861                 112    27 Feb 2020 00:29:17.188            901.051281                 -2.817                 -66.875                                    2475614.471           709.778
                 113    27 Feb 2020 02:04:22.829                906.509346                    -30.597                     -85.727                                        2498958.130                 113    27 Feb 2020 02:06:26.230            904.380186                -23.506                 -87.664                                    2489795.837           123.401
                 117    27 Feb 2020 08:16:44.869                901.514169                     -8.954                      -5.615                                        2477489.929                 117    27 Feb 2020 08:22:45.811            906.235415                -29.749                 -10.879                                    2497742.004           360.943
                 118    27 Feb 2020 09:57:36.861                901.008113                     -1.120                     -29.581                                        2475287.781                 118    27 Feb 2020 10:09:03.891            910.034861                -40.648                 -40.073                                    2514067.841           687.030
                 119    27 Feb 2020 11:40:18.715                901.000862                      0.365                     -55.020                                        2475347.900                 119    27 Feb 2020 11:53:00.267            911.065038                -43.426                 -66.864                                    2518710.327           761.552
                 120    27 Feb 2020 13:28:20.935                902.744358                    -16.654                     -84.800                                        2482772.369                 120    27 Feb 2020 13:31:19.814            905.367587                -26.955                 -87.447                                    2494069.519           178.879
                 124    27 Feb 2020 20:59:08.335                906.095407                    -29.310                      -9.689                                        2497286.987                 124    27 Feb 2020 21:06:21.563            901.121275                 -4.335                 -15.903                                    2475802.155           433.228
                 125    27 Feb 2020 22:39:34.336                909.270403                    -38.560                     -32.648                                        2510840.759                 126    27 Feb 2020 22:50:54.899            901.002507                  0.623                 -42.827                                    2475363.922           680.563
                 126    28 Feb 2020 00:21:12.842                911.141274                    -43.631                     -56.629                                        2518823.547                 126    28 Feb 2020 00:32:57.775            901.062687                 -3.115                 -67.747                                    2475652.313           704.933
                 131    28 Feb 2020 08:20:24.215                901.472916                     -8.584                      -6.469                                        2477381.439                 131    28 Feb 2020 08:26:33.126            906.264351                -29.840                 -11.845                                    2497868.958           368.911
                 132    28 Feb 2020 10:01:19.450                901.005688                     -0.938                     -30.479                                        2475371.704                 132    28 Feb 2020 10:12:57.371            910.197485                -41.089                 -41.169                                    2514892.578           697.921
                 133    28 Feb 2020 11:44:07.773                901.000194                      0.173                     -56.005                                        2475238.800                 133    28 Feb 2020 11:56:43.570            911.013392                -43.288                 -67.752                                    2518486.023           755.796
                 134    28 Feb 2020 13:32:38.459                903.135559                    -18.487                     -86.192                                        2484437.866                 134    28 Feb 2020 13:34:24.081            904.674209                -24.570                 -87.749                                    2491029.816           105.623
                 138    28 Feb 2020 21:02:47.059                906.223836                    -29.713                     -10.516                                        2497705.994                 138    28 Feb 2020 21:10:12.474            901.105164                 -4.036                 -16.912                                    2475733.032           445.416
                 139    28 Feb 2020 22:43:10.972                909.459544                    -39.079                     -33.414                                        2511758.118                 140    28 Feb 2020 22:54:40.873            901.002615                  0.636                 -43.771                                    2475260.315           689.901
                 140    29 Feb 2020 00:24:58.247                911.148409                    -43.650                     -57.562                                        2518855.286                 140    29 Feb 2020 00:36:38.311            901.075368                 -3.416                 -68.618                                    2475712.433           700.063
                 145    29 Feb 2020 08:24:03.998                901.435994                     -8.240                      -7.330                                        2477189.636                 145    29 Feb 2020 08:30:20.300            906.290739                -29.922                 -12.809                                    2498131.256           376.302
                 146    29 Feb 2020 10:05:02.389                901.003893                     -0.776                     -31.383                                        2475254.822                 146    29 Feb 2020 10:16:52.435            910.393786                -41.620                 -42.299                                    2515632.019           710.045
                 147    29 Feb 2020 11:47:57.627                901.000027                     -0.064                     -57.000                                        2475379.791                 147    29 Feb 2020 12:00:25.485            910.932395                -43.070                 -68.611                                    2518111.725           747.858
                 152    29 Feb 2020 21:06:31.258                906.252204                    -29.802                     -11.431                                        2497924.805                 152    29 Feb 2020 21:14:03.481            901.089930                 -3.732                 -17.923                                    2475683.289           452.223
                 153    29 Feb 2020 22:46:48.486                909.631020                    -39.549                     -34.195                                        2512532.654                 154    29 Feb 2020 22:58:26.376            901.002503                  0.622                 -44.708                                    2475380.249           697.890
                 154     1 Mar 2020 00:28:43.625                911.156139                    -43.671                     -58.495                                        2518970.795                 154     1 Mar 2020 00:40:18.480            901.090227                 -3.738                 -69.485                                    2475740.967           694.856
                 159     1 Mar 2020 08:27:41.836                901.389292                     -7.783                      -8.163                                        2477043.304                 159     1 Mar 2020 08:34:09.791            906.360061                -30.137                 -13.811                                    2498403.015           387.956
                 160     1 Mar 2020 10:08:44.969                901.002275                     -0.593                     -32.281                                        2475368.042                 160     1 Mar 2020 10:20:45.384            910.545811                -42.030                 -43.388                                    2516277.161           720.414
                 161     1 Mar 2020 11:51:47.265                901.000541                     -0.289                     -57.993                                        2475338.135                 161     1 Mar 2020 12:04:07.362            910.850629                -42.850                 -69.470                                    2517772.675           740.097
                 166     1 Mar 2020 21:10:15.580                906.278380                    -29.883                     -12.349                                        2498069.763                 166     1 Mar 2020 21:17:54.890            901.074858                 -3.405                 -18.939                                    2475660.553           459.310
                 167     1 Mar 2020 22:50:28.525                909.750186                    -39.874                     -35.024                                        2513041.229                 168     1 Mar 2020 23:02:11.919            901.002411                  0.611                 -45.646                                    2475345.764           703.394
                 168     2 Mar 2020 00:32:27.499                911.195702                    -43.777                     -59.395                                        2519160.614                 168     2 Mar 2020 00:43:58.247            901.107638                 -4.084                 -70.346                                    2475776.672           690.748
                 173     2 Mar 2020 08:31:20.313                901.348656                     -7.363                      -9.006                                        2476844.788                 173     2 Mar 2020 08:38:05.024            906.536825                -30.681                 -14.907                                    2499035.492           404.711
                 174     2 Mar 2020 10:12:27.341                901.001026                     -0.398                     -33.177                                        2475347.137                 174     2 Mar 2020 10:24:36.909            910.667932                -42.359                 -44.448                                    2516853.943           729.568
                 175     2 Mar 2020 11:55:36.362                901.001510                     -0.483                     -58.978                                        2475388.031                 175     2 Mar 2020 12:07:49.200            910.768082                -42.628                 -70.329                                    2517428.436           732.838
                 180     2 Mar 2020 21:14:00.006                906.302665                    -29.959                     -13.268                                        2498027.649                 180     2 Mar 2020 21:21:47.993            901.057337                 -2.979                 -19.978                                    2475584.564           467.987
                 181     2 Mar 2020 22:54:10.541                909.828144                    -40.086                     -35.892                                        2513358.765                 182     2 Mar 2020 23:05:57.715            901.002436                  0.614                 -46.588                                    2475385.132           707.174
                 182     3 Mar 2020 00:36:11.472                911.233164                    -43.877                     -60.297                                        2519285.278                 182     3 Mar 2020 00:47:38.122            901.126219                 -4.423                 -71.208                                    2475784.912           686.650
                 187     3 Mar 2020 08:34:58.018                901.306268                     -6.899                      -9.839                                        2476554.108                 187     3 Mar 2020 08:41:59.660            906.704137                -31.191                 -15.995                                    2499902.191           421.642
                 188     3 Mar 2020 10:16:09.572                901.000247                     -0.195                     -34.071                                        2475272.980                 188     3 Mar 2020 10:28:27.534            910.771129                -42.637                 -45.491                                    2517377.472           737.962
                 189     3 Mar 2020 11:59:25.269                901.002869                     -0.666                     -59.961                                        2475384.216                 189     3 Mar 2020 12:11:30.342            910.670844                -42.367                 -71.173                                    2516890.259           725.073
                 194     3 Mar 2020 21:17:39.970                906.409709                    -30.290                     -14.114                                        2498677.673                 194     3 Mar 2020 21:25:41.027            901.042274                 -2.558                 -21.016                                    2475429.230           481.057
                 195     3 Mar 2020 22:57:53.265                909.891376                    -40.258                     -36.773                                        2513697.815                 196     3 Mar 2020 23:09:45.949            901.003712                  0.758                 -47.561                                    2475256.653           712.684
                 196     4 Mar 2020 00:39:55.548                911.268467                    -43.972                     -61.202                                        2519419.861                 196     4 Mar 2020 00:51:16.801            901.150534                 -4.831                 -72.054                                    2475885.010           681.254
                 201     4 Mar 2020 08:38:36.186                901.268802                     -6.461                     -10.678                                        2476499.329                 201     4 Mar 2020 08:45:58.670            906.956573                -31.952                 -17.158                                    2500838.013           442.484
                 202     4 Mar 2020 10:19:52.888                901.000020                     -0.055                     -34.979                                        2475281.219                 202     4 Mar 2020 10:32:17.473            910.859881                -42.875                 -46.520                                    2517811.584           744.585
                 203     4 Mar 2020 12:03:14.522                901.004883                     -0.869                     -60.948                                        2475355.530                 203     4 Mar 2020 12:15:10.806            910.559377                -42.066                 -72.004                                    2516355.743           716.285
                 207     4 Mar 2020 19:41:01.693                903.700367                    -20.887                       8.204                                        2486843.567                 207     4 Mar 2020 19:41:37.267            903.214329                -18.837                   7.689                                    2484765.930            35.574
                 208     4 Mar 2020 21:21:18.643                906.541598                    -30.696                     -14.938                                        2499248.199                 208     4 Mar 2020 21:29:32.410            901.032191                 -2.232                 -22.032                                    2475433.197           493.766
                 209     4 Mar 2020 23:01:36.679                909.940188                    -40.391                     -37.667                                        2513916.321                 210     4 Mar 2020 23:13:34.396            901.005402                  0.914                 -48.538                                    2475261.078           717.717
                 210     5 Mar 2020 00:43:41.565                911.262648                    -43.957                     -62.148                                        2519431.763                 210     5 Mar 2020 00:54:53.822            901.183486                 -5.335                 -72.878                                    2476077.576           672.257
                 215     5 Mar 2020 08:42:13.880                901.231636                     -5.996                     -11.510                                        2476304.932                 215     5 Mar 2020 08:49:59.956            907.256427                -32.843                 -18.362                                    2502127.991           466.076
                 216     5 Mar 2020 10:23:37.377                901.000002                      0.017                     -35.903                                        2475338.440                 216     5 Mar 2020 10:36:07.058            910.941164                -43.094                 -47.542                                    2517963.867           749.680
                 217     5 Mar 2020 12:07:05.001                901.008443                     -1.143                     -61.952                                        2475296.326                 217     5 Mar 2020 12:18:50.616            910.434196                -41.729                 -72.823                                    2515959.473           705.615
                 221     5 Mar 2020 19:44:18.736                904.122034                    -22.540                       7.687                                        2488701.782                 221     5 Mar 2020 19:45:34.096            903.071519                -18.198                   6.589                                    2484140.930            75.360
                 222     5 Mar 2020 21:24:57.578                906.669552                    -31.086                     -15.766                                        2499737.396                 222     5 Mar 2020 21:33:21.000            901.027619                 -2.067                 -23.010                                    2475467.224           503.422
                 223     5 Mar 2020 23:05:21.085                909.968209                    -40.467                     -38.581                                        2514020.844                 224     5 Mar 2020 23:17:23.004            901.007537                  1.080                 -49.517                                    2475270.233           721.919
                 224     6 Mar 2020 00:47:28.615                911.234953                    -43.882                     -63.117                                        2519225.616                 224     6 Mar 2020 00:58:28.931            901.228030                 -5.949                 -73.676                                    2476229.858           660.316
                 229     6 Mar 2020 08:45:52.258                901.200027                     -5.571                     -12.352                                        2476097.717                 229     6 Mar 2020 08:53:58.324            907.503064                -33.566                 -19.519                                    2503220.520           486.066
                 230     6 Mar 2020 10:27:21.949                901.000047                      0.085                     -36.828                                        2475303.497                 230     6 Mar 2020 10:39:56.442            911.018244                -43.301                 -48.560                                    2518376.160           754.493
                 231     6 Mar 2020 12:10:56.972                901.014598                     -1.503                     -62.975                                        2475414.734                 231     6 Mar 2020 12:22:29.851            910.297056                -41.358                 -73.631                                    2515194.855           692.879
                 235     6 Mar 2020 19:48:01.401                904.168761                    -22.717                       6.792                                        2488929.138                 235     6 Mar 2020 19:49:33.423            902.902335                -17.415                   5.455                                    2483414.001            92.022
                 236     6 Mar 2020 21:28:36.429                906.800012                    -31.482                     -16.592                                        2500375.977                 236     6 Mar 2020 21:37:07.864            901.025915                 -2.003                 -23.966                                    2475349.274           511.435
